,시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일
58,24시 명동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,구로구,개봉동,,492 번지,남부순환로,775 번,37.50156787,126.847162,8236.0,서울특별시 구로구 남부순환로 775,서울특별시 구로구 개봉동 492,02-2619-5102,https://blog.naver.com/petsong1472,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
66,24시 산들산들 동물병원,반려동물업,반려의료,동물병원,서울특별시,마포구,아현동,,424-14 번지,마포대로16길,7 번,37.55097463,126.956497,4205.0,서울특별시 마포구 마포대로16길 7,서울특별시 마포구 아현동 424-14,02-393-3588,https://24sdsdah.modoo.at/,연중무휴,"월~금 10:00~24:00, 토~일 10:00~20:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
67,24시 서울 탑 동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,신정동,,1182-11 번지,중앙로,237 번,37.51774297,126.853643,8073.0,서울특별시 양천구 중앙로 237,서울특별시 양천구 신정동 1182-11,02-2601-8875,https://blog.naver.com/animalhospital-,연중무휴,매일 09:00~21:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
74,24시 스마트동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,신사동,,587-13 번지,도산대로,213 번,37.52069647,127.029989,6026.0,서울특별시 강남구 도산대로 213,서울특별시 강남구 신사동 587-13,02-549-0275,https://blog.naver.com/smart7582,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
75,24시 시유동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,용산구,이촌동,,302-88 번지,이촌로64길,24 번,37.52000492,126.969872,4427.0,서울특별시 용산구 이촌로64길 24,서울특별시 용산구 이촌동 302-88,02-793-0075,https://blog.naver.com/seeu_amc,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
76,24시 신도림S동물의료센터,반려동물업,반려의료,동물병원,서울특별시,구로구,신도림동,,435-10 번지,경인로,619-3 번,37.50688385,126.884037,8210.0,서울특별시 구로구 경인로 619-3,서울특별시 구로구 신도림동 435-10,02-6949-3575,https://blog.naver.com/ssah24,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
80,24시 안박동물병원,반려동물업,반려의료,동물병원,서울특별시,강서구,등촌동,,628-13 번지,양천로,510 번,37.56011704,126.856339,7548.0,서울특별시 강서구 양천로 510,서울특별시 강서구 등촌동 628-13,02-3664-7511,정보없음,매주 일요일,월~토 10:00~19:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
82,24시 애니동물병원,반려동물업,반려의료,동물병원,서울특별시,성북구,보문동,,3-1 번지,보문로,99 번,37.58399292,127.019824,2872.0,서울특별시 성북구 보문로 99,서울특별시 성북구 보문동5가 3-1,02-926-8275,정보없음,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
95,24시 지구촌 동물메디컬 센터,반려동물업,반려의료,동물병원,서울특별시,구로구,구로동,,505-17 번지,구로중앙로31길,30 번,37.49878906,126.884786,8280.0,서울특별시 구로구 구로중앙로31길 30,서울특별시 구로구 구로동 505-17,02-869-7582,https://blog.naver.com/dr_jiguchon,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
96,24시 청담우리 동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,삼성동,,70-6 번지,삼성로,614 번,37.51449135,127.052853,6085.0,서울특별시 강남구 삼성로 614,서울특별시 강남구 삼성동 70-6,02-541-7515,https://www.chungdamah.co.kr/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
102,24시 SNC 동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,강남구,역삼동,,727-8 번지,논현로,416 번,37.4974084,127.038878,6224.0,서울특별시 강남구 논현로 416,서울특별시 강남구 역삼동 727-8,02-562-7582,http://blog.naver.com/sncamc,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
113,24시루시드동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,강북구,미아동,,42-11 번지,월계로,3 번,37.60958992,127.030683,1220.0,서울특별시 강북구 월계로 3,서울특별시 강북구 미아동 42-11,02-941-7900,http://www.lucidamc.co.kr/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
121,24시센트럴동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,성동구,행당동,,318-36 번지,고산자로,207 번,37.5586754,127.033737,4714.0,서울특별시 성동구 고산자로 207,서울특별시 성동구 행당동 318-36,02-3395-7975,http://www.xn--24-qp6i57v43be1or8g.com/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
123,24시스마트동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,은평구,응암동,,91-5 번지,은평로,93 번,37.59978536,126.918127,3461.0,서울특별시 은평구 은평로 93,서울특별시 은평구 응암동 91-5,02-387-7582,https://blog.naver.com/eosksh,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
125,24시아프리카동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,강서구,등촌동,,664-1 번지,공항대로,335 번,37.55820284,126.844923,7590.0,서울특별시 강서구 공항대로 335,서울특별시 강서구 등촌동 664-1,02-3665-7975,http://www.semyungah.com/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
128,24시연동물의료센터,반려동물업,반려의료,동물병원,서울특별시,강서구,화곡동,,1060-30 번지,화곡로,191 번,37.54293761,126.842277,7700.0,서울특별시 강서구 화곡로 191,서울특별시 강서구 화곡동 1060-30,0507-1326-7553,https://blog.naver.com/24_yeon,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
129,24시예담동물의료센터,반려동물업,반려의료,동물병원,서울특별시,은평구,역촌동,,7-15 번지,연서로,122 번,37.60958089,126.916793,3399.0,서울특별시 은평구 연서로 122,서울특별시 은평구 역촌동 7-15,02-6952-7519,https://blog.naver.com/24yedamamc,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
130,24시예스동물병원,반려동물업,반려의료,동물병원,서울특별시,서초구,반포동,,20-45 번지,잠원로,24 번,37.5071157,127.009873,6544.0,서울특별시 서초구 잠원로 24,서울특별시 서초구 반포동 20-45,02-534-3475,https://blog.naver.com/numberhana,연중무휴,"월~금 10:50~19:30, 토, 법정공휴일 11:00~18:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
132,24시잠실ON동물의료센터,반려동물업,반려의료,동물병원,서울특별시,송파구,잠실동,,175-6 번지,올림픽로,76 번,37.51156036,127.079181,5556.0,서울특별시 송파구 올림픽로 76,서울특별시 송파구 잠실동 175-6,02-418-0724,http://24onamc.com,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
133,24시지구촌동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,구로구,구로동,,505-17 번지,구로중앙로31길,30 번,37.49878906,126.884786,8280.0,서울특별시 구로구 구로중앙로31길 30,서울특별시 구로구 구로동 505-17,02-869-7582,http://blog.naver.com/dr_jiguchon,연중무휴,매일 09:00~23:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
138,24시OK동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,역삼동,,766-20 번지,도곡로51길,4 번,37.49556174,127.049817,6218.0,서울특별시 강남구 도곡로51길 4,서울특별시 강남구 역삼동 766-20,02-569-7582,http://blog.naver.com/24okamc,연중무휴,매일 09:00~21:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,"일반동물병원, 매일 21:00~09:00 입원동물만 관리(응급진료~VIP동물의료센터 청담점 연계진료)",없음,2022-11-30
139,24시SD동물영상의료센터,반려동물업,반려의료,동물병원,서울특별시,중구,신당동,,855 번지,왕십리로,407 번,37.56478,127.02471,4580.0,서울특별시 중구 왕십리로 407,서울특별시 중구 신당동 855,02-2039-0303,https://sdamc.co.kr/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
145,25시동물병원,반려동물업,반려의료,동물병원,서울특별시,노원구,중계동,,363 번지,한글비석로8길,16 번,37.64777726,127.077579,1738.0,서울특별시 노원구 한글비석로8길 16,서울특별시 노원구 중계동 363,02-935-0075,https://blog.naver.com/vetoh,"매주 토, 일",월~금 10:00~20:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
146,25시동물의료센터,반려동물업,반려의료,동물병원,서울특별시,송파구,삼전동,,5-3 번지,삼전로,80 번,37.50553777,127.089412,5606.0,서울특별시 송파구 삼전로 80,서울특별시 송파구 삼전동 5-3,02-419-1351,https://blog.naver.com/jamsil25h,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
148,2층스타약국,반려동물업,반려의료,동물약국,서울특별시,은평구,진관동,,62 번지,통일로,1034 번,37.63528107,126.917656,3306.0,서울특별시 은평구 통일로 1034,서울특별시 은평구 진관동 62,02-357-8889,정보없음,매주 일요일,"수 09:00~21:00, 목 09:00~19:00, 금 09:00~19:00, 토 09:00~15:00,, 월 09:00~19:00, 화 09:00~19:00,",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
151,2층은약국,반려동물업,반려의료,동물약국,서울특별시,동작구,흑석동,,1-3 번지,현충로,75 번,37.50975909,126.963859,6904.0,서울특별시 동작구 현충로 75,서울특별시 동작구 흑석동 1-3,02-6484-8248,정보없음,"매주 일요일, 법정공휴일","월, 수 09:15~19:00, 화, 목 09:15~21:00, 금 09:15~20:30, 토 09:15~15:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
152,2층종로약국,반려동물업,반려의료,동물약국,서울특별시,은평구,불광동,,311-13 번지,통일로,856 번,37.61962267,126.921523,3345.0,서울특별시 은평구 통일로 856,서울특별시 은평구 불광동 311-13,0507-1438-5603,정보없음,"매주 일요일, 법정공휴일","월~금 09:00~20:00, 토 09:00~14:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
154,2층하늘약국,반려동물업,반려의료,동물약국,서울특별시,마포구,중동,,64-25 번지,월드컵북로,230 번,37.57014164,126.903832,3941.0,서울특별시 마포구 월드컵북로 230,서울특별시 마포구 중동 64-25,02-303-4290,정보없음,"매주 일요일, 법정공휴일","월~금 09:30~18:30, 토 09:30~14:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
156,2Cats,반려동물업,반려동물식당카페,카페,서울특별시,종로구,인사동,,146 번지,인사동길,11 번,37.57182943,126.986787,3164.0,서울특별시 종로구 인사동길 11,서울특별시 종로구 인사동 146,02-722-7833,정보없음,연중무휴,매일 11:00~21:00,N,12000원,Y,해당없음,모두 가능,제한사항 없음,Y,N,애견카페,없음,2022-11-30
159,331멍발소,반려동물업,반려동물 서비스,미용,서울특별시,동대문구,제기동,,331 번지,제기로20길,34 번,37.5850119,127.041494,2480.0,서울특별시 동대문구 제기로20길 34-1,서울특별시 동대문구 제기동 331,0507-1390-3310,https://www.instagram.com/331mung,연중무휴,매일 10:00~20:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,강아지미용,없음,2022-11-30
162,365 마음동물병원,반려동물업,반려의료,동물병원,서울특별시,구로구,궁동,,170-11 번지,오리로,1286 번,37.49627786,126.829996,8255.0,서울특별시 구로구 오리로 1286,서울특별시 구로구 궁동 170-11,02-2611-5223,http://www.guroah.com/,연중무휴,매일 10:00~20:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
165,365 종로약국,반려동물업,반려의료,동물약국,서울특별시,동대문구,답십리동,,258-6 번지,전농로,60-1 번,37.57028867,127.057409,2615.0,서울특별시 동대문구 전농로 60-1,서울특별시 동대문구 답십리동 258-6,0507-1353-8704,정보없음,연중무휴,매일 08:00~23:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
167,365구생약국,반려동물업,반려의료,동물약국,서울특별시,은평구,대조동,,6-9 번지,통일로,739 번,37.6112522,126.928734,3396.0,서울특별시 은평구 통일로 739,서울특별시 은평구 대조동 6-9,02-353-1144,정보없음,연중무휴,"월~금 09:00~22:00, 토 09:00~22:00, 일 10:00~22:00, 법정공휴일 10:00~22:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
169,365그린약국,반려동물업,반려의료,동물약국,서울특별시,강서구,화곡동,,343-52 번지,강서로,43 번,37.53152152,126.846532,7774.0,서울특별시 강서구 강서로 43,서울특별시 강서구 화곡동 343-52,02-653-8070,정보없음,매주 일요일,"월~금 09:00~21:00, 토 09:00~17:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
171,365동물병원,반려동물업,반려의료,동물병원,서울특별시,도봉구,방학동,,713-35 번지,방학로,54 번,37.66297575,127.046351,1335.0,서울특별시 도봉구 방학로 54,서울특별시 도봉구 방학동 713-35,02-6402-0365,https://www.instagram.com/365_vet/,연중무휴,"월~금 09:30~20:00, 토 09:30~19:00, 일, 법정공휴일 09:30~17:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,일반동물병원,없음,2022-11-30
177,365마트약국,반려동물업,반려의료,동물약국,서울특별시,영등포구,영등포동,,62-1 번지,영중로,125 번,37.52781676,126.904683,7228.0,서울특별시 영등포구 영중로 125,서울특별시 영등포구 영등포동8가 62-1,02-2633-4865,정보없음,연중무휴,매일 10:00~22:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
180,365미소약국,반려동물업,반려의료,동물약국,서울특별시,은평구,진관동,,64 번지,진관3로,11 번,37.63946305,126.918268,3300.0,서울특별시 은평구 진관3로 11,서울특별시 은평구 진관동 64,02-6471-8488,정보없음,연중무휴,"매일 09:00~21:00,",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
186,365새누리약국,반려동물업,반려의료,동물약국,서울특별시,양천구,목동,,792-4 번지,등촌로,32 번,37.53288516,126.864166,7965.0,서울특별시 양천구 등촌로 32,서울특별시 양천구 목동 792-4,02-2648-1858,정보없음,연중무휴,"월~금 08:00~21:00, 토 08:00~19:00, 일, 법정공휴일 12:00~21:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
190,365약국,반려동물업,반려의료,동물약국,서울특별시,성북구,길음동,,21-79 번지,동소문로,321 번,37.6086296,127.029459,2729.0,서울특별시 성북구 동소문로 321,서울특별시 성북구 길음동 21-79,02-985-1365,정보없음,연중무휴,매일 09:00~20:30,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
197,365열린약국,반려동물업,반려의료,동물약국,서울특별시,마포구,신공덕동,,167 번지,백범로,199 번,37.54350072,126.952887,4195.0,서울특별시 마포구 백범로 199,서울특별시 마포구 신공덕동 167,02-6010-2720,정보없음,연중무휴,"월~금 08:00~21:00, 토~일, 법정공휴일 08:00~17:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
198,365열린약국,반려동물업,반려의료,동물약국,서울특별시,영등포구,영등포동,,35-1 번지,영중로,119 번,37.5267661,126.905231,7228.0,서울특별시 영등포구 영중로 119,서울특별시 영등포구 영등포동8가 35-1,02-568-7807,정보없음,연중무휴,매일 09:00~23:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
199,365열린약국,반려동물업,반려의료,동물약국,서울특별시,구로구,개봉동,,203-7 번지,남부순환로97길,3 번,37.49399577,126.858255,8328.0,서울특별시 구로구 남부순환로97길 3,서울특별시 구로구 개봉동 203-7,02-3666-0784,정보없음,연중무휴,매일 08:30~22:30,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
206,365올리브약국,반려동물업,반려의료,동물약국,서울특별시,강북구,미아동,,190-1 번지,도봉로,242 번,37.63058484,127.024886,1132.0,서울특별시 강북구 도봉로 242,서울특별시 강북구 미아동 190-1,0507-1439-9992,정보없음,연중무휴,"월~금 09:00~20:00, 토 09:00~18:00, 일 12:00~18:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
211,365정화약국,반려동물업,반려의료,동물약국,서울특별시,노원구,상계동,,693-4 번지,상계로,59 번,37.65616028,127.061515,1694.0,서울특별시 노원구 상계로 59,서울특별시 노원구 상계동 693-4,02-935-4869,정보없음,연중무휴,"월~토 09:00~23:00, 일, 법정공휴일 13:00~23:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
219,365프라자약국,반려동물업,반려의료,동물약국,서울특별시,중랑구,묵동,,162-2 번지,공릉로,63 번,37.6162737,127.079279,2032.0,서울특별시 중랑구 공릉로 63,서울특별시 중랑구 묵동 162-2,02-978-4266,정보없음,"매주 일요일, 법정공휴일","월~금 09:00~21:00, 토 09:00~15:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
220,365플러스약국,반려동물업,반려의료,동물약국,서울특별시,동대문구,용두동,,33-1 번지,천호대로,133 번,37.57454832,127.038768,2565.0,서울특별시 동대문구 천호대로 133,서울특별시 동대문구 용두동 33-1,02-963-0110,정보없음,연중무휴,매일 10:00~22:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
221,365행복약국,반려동물업,반려의료,동물약국,서울특별시,노원구,하계동,,284 번지,한글비석로,57 번,37.63662358,127.068915,1784.0,서울특별시 노원구 한글비석로 57,서울특별시 노원구 하계동 284,02-469-2490,정보없음,연중무휴,매일 10:00~21:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
228,38도씨식당,반려동물업,반려동물식당카페,식당,서울특별시,마포구,서교동,,409-11 번지,와우산로17길,19-17 번,37.54942988,126.921615,4049.0,서울특별시 마포구 와우산로17길 19-17,서울특별시 마포구 서교동 409-11,0507-1339-8387,https://instagram.com/38docisikdang,연중무휴,매일 17:00~01:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,애견 동반 식당,없음,2022-11-30
232,3층약국,반려동물업,반려의료,동물약국,서울특별시,마포구,중동,,64-25 번지,월드컵북로,230 번,37.57014164,126.903832,3941.0,서울특별시 마포구 월드컵북로 230,서울특별시 마포구 중동 64-25,02-306-4743,정보없음,"매주 일요일, 법정공휴일","월~금 09:00~18:30, 토 09:00~15:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
234,3층엠코약국,반려동물업,반려의료,동물약국,서울특별시,중랑구,상봉동,,500 번지,망우로,353 번,37.59833282,127.091624,2087.0,서울특별시 중랑구 망우로 353,서울특별시 중랑구 상봉동 500,02-434-7707,정보없음,연중무휴,"월~금 09:00~21:00, 토 09:00~18:00, 일 09:00~12:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
237,3층파란문약국,반려동물업,반려의료,동물약국,서울특별시,용산구,한강로동,,420 번지,한강대로,69 번,37.52704046,126.964892,4378.0,서울특별시 용산구 한강대로 69,서울특별시 용산구 한강로2가 420,02-796-9008,정보없음,"매주 일요일, 법정공휴일","월~금 10:00~15:00, 토 10:00~15:30",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
240,41약국,반려동물업,반려의료,동물약국,서울특별시,양천구,목동,,917-9 번지,목동동로,293 번,37.52817831,126.875772,7997.0,서울특별시 양천구 목동동로 293,서울특별시 양천구 목동 917-9,02-2654-7774,정보없음,"매주 일요일, 법정공휴일",월~토 09:30~20:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
241,4층 다나약국,반려동물업,반려의료,동물약국,서울특별시,관악구,봉천동,,859-17 번지,관악로,195 번,37.48256382,126.953099,8745.0,서울특별시 관악구 관악로 195,서울특별시 관악구 봉천동 859-17,02-878-9529,정보없음,"매주 일요일, 법정공휴일","월~금 09:00~18:30, 토 09:00~13:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
251,63아트,반려동물업,반려동반여행,미술관,서울특별시,영등포구,여의도동,,60 번지,63로,50 번,37.51966416,126.939909,7345.0,서울특별시 영등포구 63로 50,서울특별시 영등포구 여의도동 60,02-789-5101,www.63art.co.kr,연중무휴,매일 10:00~22:00,Y,15000원,N,해당없음,해당없음,해당없음,Y,N,미술관,없음,2022-11-30
252,7번약국,반려동물업,반려의료,동물약국,서울특별시,강북구,수유동,,191-17 번지,도봉로,339 번,37.6382539,127.025489,1074.0,서울특별시 강북구 도봉로 339,서울특별시 강북구 수유동 191-17,02-904-7773,https://sevenmask.blogspot.com,연중무휴,"월~토 09:00~01:00, 일, 법정공휴일 13:00~01:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30
